RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
0650;BERCE (ALLEE DE);;;11;11;78;ECOLE MATERNELLE MARIE CURIE
0655;BERCE (RUE DE);2;70;1;35;78;ECOLE MATERNELLE MARIE CURIE
0657;BERNARD LYOT (IMPASSE);2;6;;;39;RESTAURANT SCOLAIRE CLAUDE BERNARD
0660;BERNE (RUE DE);6;28;21;29;93;RESTAURANT SCOLAIRE DE LA MADELEINE
0665;BERNIN (ALLEE);4;8;1;11;57;RESTAURANT SCOLAIRE MICHEL ANGE
0670;BERRY (RUE DU);2;6;1;7;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0673;BERTHE MORISOT (RUE);2;18;1;21;61;RESTAURANT SCOLAIRE JEAN VILAR
0675;BERTHELOT (RUE);6;36;1;25;3;ECOLE MATERNELLE GENERAL GOUGEARD
0680;BERTINIERE (RUE DE LA);190;190;;;38;RESTAURANT SCOLAIRE SABLONNIERE
0680;BERTINIERE (RUE DE LA);2;202;7;249;37;RESTAURANT SCOLAIRE SABLONNIERE
0685;BESNIER (IMPASSE);;;;;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0690;BESNIER (RUE);2;74;21;47;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0692;BESSEMER (RUE);2;2;5;13;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0695;BIGARREAUX (CITE DES);Bâtiments A à H;;;;58;RESTAURANT SCOLAIRE MICHEL ANGE
0700;BIGARREAUX (RUE DES);8;68;1;99;58;RESTAURANT SCOLAIRE MICHEL ANGE
0705;BIGOT (IMPASSE);12;20;19;21;3;ECOLE MATERNELLE GENERAL GOUGEARD
0710;BIGOT (RUE);2;10;3;15;3;ECOLE MATERNELLE GENERAL GOUGEARD
0713;BILBAO (RUE DE);2;12;1;5;19;ECOLE PRIMAIRE DU VILLARET
0715;BINOIS (CITE);14;26;5;17;57;RESTAURANT SCOLAIRE MICHEL ANGE
